,0
901,-0.18
902,1.0
903,0.03
904,-0.15
905,0.99
906,-0.01
907,-0.15
908,1.01
909,0.01
910,-0.18
911,0.99
912,0.02
913,-0.14
914,0.99
915,-0.01
916,-0.17
917,1.01
918,0.02
919,-0.17
920,0.99
921,0.01
922,-0.14
923,1.0
924,-0.01
925,-0.18
926,1.01
927,0.03
928,-0.16
929,0.98
930,-0.0
931,-0.14
932,1.01
933,0.0
934,-0.18
935,1.0
936,0.03
937,-0.15
938,0.99
939,-0.01
940,-0.16
941,1.01
942,0.01
943,-0.18
944,0.99
945,0.02
946,-0.14
947,1.0
948,-0.01
949,-0.17
950,1.01
951,0.03
952,-0.17
953,0.99
954,0.01
955,-0.14
956,1.0
957,-0.01
958,-0.18
959,1.0
960,0.0
961,-0.18
962,1.0
963,0.03
964,-0.15
965,0.99
966,-0.01
967,-0.16
968,1.01
969,0.02
970,-0.18
971,0.99
972,0.02
973,-0.14
974,1.0
975,-0.01
976,-0.17
977,1.01
978,0.03
979,-0.17
980,0.99
981,0.0
982,-0.14
983,1.01
984,-0.01
985,-0.18
986,1.01
987,0.03
988,-0.16
989,0.98
990,-0.01
991,-0.15
992,1.01
993,0.01
994,-0.18
995,0.99
996,0.03
997,-0.15
998,0.99
999,-0.01
1000,-0.16
1001,1.01
1002,0.02
1003,-0.18
1004,0.99
1005,0.01
1006,-0.14
1007,1.0
1008,-0.01
1009,-0.17
1010,1.01
1011,0.03
1012,-0.17
1013,0.98
1014,0.0
1015,-0.14
1016,1.01
1017,-0.0
1018,-0.18
1019,1.0
1020,0.03
1021,-0.16
1022,0.98
1023,-0.01
1024,-0.15
1025,1.01
1026,0.01
1027,-0.18
1028,1.0
1029,0.03
1030,-0.14
1031,0.99
1032,-0.01
1033,-0.16
1034,1.01
1035,0.02
1036,-0.18
1037,0.99
1038,0.01
1039,-0.14
1040,1.0
1041,-0.01
1042,-0.17
1043,1.01
1044,0.03
1045,-0.17
1046,0.98
1047,0.0
1048,-0.14
1049,1.01
1050,-0.0
1051,-0.18
1052,1.0
1053,0.03
1054,-0.15
1055,0.98
1056,-0.01
1057,-0.15
1058,1.01
1059,0.01
1060,-0.18
1061,0.99
1062,0.02
1063,-0.14
1064,0.99
1065,-0.01
1066,-0.16
1067,1.01
1068,0.02
1069,-0.18
1070,0.99
1071,0.01
1072,-0.14
1073,1.0
1074,-0.01
1075,-0.17
1076,1.01
1077,0.03
